,state,food_2,all_items_2
0,Abia,667.08,563.07
1,Abuja,668.64,546.05
2,Adamawa,642.7,538.42
3,Akwa Ibom,680.31,563.37
4,Anambra,655.65,579.04
5,Bauchi,579.04,659.58
6,Bayelsa,695.87,576.31
7,Benue,674.6,554.6
8,Borno,644.05,519.44
9,Cross River,692.77,518.61
10,Delta,693.3,531.43
11,Ebonyi,708.81,585.95
12,Edo,688.75,576.86
13,Ekiti,693.35,515.29
14,Enugu,685.83,528.57
15,Gombe,652.9,564.19
16,Imo,690.7,506.59
17,Jigawa,630.82,559.92
18,Kaduna,659.73,578.83
19,Kano,660.62,575.61
20,Katsina,633.93,505.56
21,Kebbi,667.99,600.82
22,Kogi,781.76,647.45
23,Kwara,755.5,644.08
24,Lagos,724.59,597.43
25,Nassarawa,654.41,563.89
26,Niger,655.13,574.45
27,Ogun,698.58,600.29
28,Ondo,706.48,593.21
29,Osun,671.31,553.86
30,Oyo,683.45,598.79
31,Plateau,658.46,573.92
32,Rivers,691.41,571.74
33,Sokoto,643.61,555
34,Taraba,655.62,542.78
35,Yobe,663.33,578.24
36,Zamfara,645.63,569.02
