,state,food,all_items
0,Abia,529.01,457.26
1,Abuja,525.76,439.88
2,Adamawa,521.13,436.26
3,Akwa Ibom,540.21,455.13
4,Anambra,525.31,466.24
5,Bauchi,466.24,536.73
6,Bayelsa,546.15,463.19
7,Benue,535.41,453.67
8,Borno,529.01,431.28
9,Cross River,547.06,424.03
10,Delta,539.28,427.85
11,Ebonyi,564.26,474.15
12,Edo,539.25,467.6
13,Ekiti,544.98,425.64
14,Enugu,545.17,430.6
15,Gombe,531.37,461.97
16,Imo,539.43,412.94
17,Jigawa,508.49,454.7
18,Kaduna,531.59,471.89
19,Kano,538.71,472.15
20,Katsina,510.23,412.32
21,Kebbi,540.02,488.81
22,Kogi,602.72,516.99
23,Kwara,577.61,531.87
24,Lagos,555.78,475.1
25,Nassarawa,529.53,464.39
26,Niger,532.59,469.85
27,Ogun,546.78,482.97
28,Ondo,546.95,473.05
29,Osun,531.77,449.5
30,Oyo,541.57,481.23
31,Plateau,533.91,471.27
32,Rivers,546.64,460.84
33,Sokoto,529.29,458.44
34,Taraba,531.17,447.16
35,Yobe,530.15,468.49
36,Zamfara,531.91,470.53
