,state,apc,pdp,adc,otherparties,regvoters,totalvotes,winner
0,Abia,13394,368303,569,8779,1349134,391045,PDP
1,Adamawa,374701,251664,1012,8641,1518123,636018,APC
2,Akwa Ibom,58411,953304,608,4741,1644481,1017064,PDP
3,Anambra,17926,660762,534,9362,1963427,688584,PDP
4,Bauchi,931598,86085,189,2466,2053484,1020338,APC
5,Bayelsa,5194,361209,116,548,605637,367067,PDP
6,Benue,373961,303737,539,5027,1893596,683264,APC
7,Borno,473543,25640,201,2536,1407777,501920,APC
8,Cross River,28368,414863,749,6534,1144288,450514,PDP
9,Delta,48910,1211405,888,6570,2044372,1267773,PDP
10,Ebonyi,19518,323653,2704,18013,1071226,363888,PDP
11,Edo,208469,286869,512,4601,1650522,500451,PDP
12,Ekiti,120331,176466,424,3470,723255,300691,PDP
13,Enugu,14157,553003,478,5535,1381563,573173,PDP
14,Gombe,361245,96873,247,2234,1110105,460599,APC
15,Imo,133253,559185,1617,8909,1747681,702964,PDP
16,Jigawa,885988,142904,375,8297,1815839,1037564,APC
17,Kaduna,1127760,484085,546,5091,3361793,1617482,APC
18,Kano,1903999,215779,657,8386,4936862,2128821,APC
19,Katsina,1345441,98937,498,4550,2842741,1449426,APC
20,Kebbi,567883,100972,472,7676,1457763,677003,APC
21,Kogi,264851,149987,761,5729,1350883,421328,APC
22,Kwara,302146,132602,438,4894,1181032,440080,APC
23,Lagos,792460,632327,2072,16827,5827846,1443686,APC
24,Nassarawa,236838,273460,105,1144,1222054,511547,PDP
25,Niger,657678,149222,614,6157,1995679,813671,APC
26,Ogun,308290,207950,1364,15568,1709409,533172,APC
27,Ondo,299889,251368,1227,8572,1501549,561056,APC
28,Osun,383603,249929,937,8146,1378113,642615,APC
29,Oyo,528620,303376,5000,44356,1073849,881352,APC
30,Plateau,429140,549615,406,3227,1977211,982388,PDP
31,Rivers,69238,1487075,1031,8117,2344300,1565461,PDP
32,Sokoto,671926,152199,762,9372,1663127,834259,APC
33,Taraba,261326,310800,320,7231,1374307,579677,PDP
34,Yobe,446265,25526,112,1893,1077942,473796,APC
35,Zamfara,612202,144833,294,3693,1484941,761022,APC
36,FCT,146399,157195,288,2923,886573,306805,PDP
