date,Monthly.2,12-Month Average.2,Month-on change (%).2,Year-on change (%).2,12-Month average change (%).2
2009-01-01,89.46,84.6,0.92,18.44,16.54
2009-02-01,90.22,85.86,0.84,20.04,17.45
2009-03-01,90.94,86.92,0.81,16.23,17.74
2009-04-01,91.62,87.93,0.74,15.34,17.89
2009-05-01,93.5,88.99,2.05,15.74,17.95
2009-06-01,95.6,89.92,2.25,13.14,17.5
2009-07-01,97.87,90.85,2.37,12.87,16.81
2009-08-01,98.9,91.78,1.05,12.75,16.28
2009-09-01,99.49,92.7,0.6,12.47,15.86
2009-10-01,99.92,93.69,0.44,13.52,15.4
2009-11-01,100.0,94.68,0.08,13.48,15.02
2009-12-01,102.4,95.83,2.4,15.52,14.84
2010-01-01,103.7,97.01,1.27,15.92,14.67
2010-02-01,104.84,98.23,1.1,16.21,14.41
2010-03-01,105.3,99.43,0.44,15.79,14.39
2010-04-01,106.56,100.67,1.19,16.31,14.49
2010-05-01,105.68,101.69,-0.83,13.02,14.27
2010-06-01,109.99,102.89,4.08,15.05,14.42
2010-07-01,111.61,104.03,1.47,14.04,14.51
2010-08-01,113.82,105.28,1.98,15.09,14.71
2010-09-01,113.98,106.48,0.14,14.57,14.87
2010-10-01,113.98,107.65,-0.0,14.07,14.91
2010-11-01,114.35,108.85,0.33,14.35,14.97
2010-12-01,115.4,109.93,0.92,12.7,14.72
2011-01-01,114.33,110.82,-0.93,10.26,14.23
2011-02-01,117.65,111.89,2.9,12.22,13.9
2011-03-01,118.12,112.96,0.4,12.17,13.61
2011-04-01,118.95,113.99,0.71,11.63,13.23
2011-05-01,118.55,115.06,-0.34,12.18,13.15
2011-06-01,120.13,115.91,1.34,9.22,12.65
2011-07-01,120.4,116.64,0.23,7.88,12.12
2011-08-01,123.68,117.46,2.72,8.66,11.57
2011-09-01,124.78,118.36,0.89,9.48,11.15
2011-10-01,124.98,119.28,0.16,9.66,10.8
2011-11-01,125.35,120.19,0.3,9.62,10.42
2011-12-01,128.12,121.25,2.21,11.02,10.3
2012-01-01,129.26,122.5,0.89,13.05,10.54
2012-02-01,129.1,123.45,-0.13,9.73,10.34
2012-03-01,132.11,124.62,2.34,11.85,10.33
2012-04-01,132.33,125.73,0.16,11.25,10.3
2012-05-01,133.89,127.01,1.18,12.94,10.39
2012-06-01,134.54,128.21,0.48,11.99,10.62
2012-07-01,134.96,129.43,0.32,12.09,10.96
2012-08-01,135.94,130.45,0.72,9.91,11.06
2012-09-01,137.47,131.5,1.12,10.16,11.1
2012-10-01,138.81,132.66,0.98,11.06,11.22
2012-11-01,139.84,133.86,0.74,11.55,11.37
2012-12-01,141.19,134.95,0.97,10.2,11.3
2013-01-01,142.32,136.04,0.8,10.11,11.05
2013-02-01,143.26,137.22,0.66,10.97,11.15
2013-03-01,144.64,138.26,0.96,9.48,10.95
2013-04-01,145.57,139.37,0.64,10.01,10.84
2013-05-01,146.37,140.41,0.55,9.32,10.55
2013-06-01,147.46,141.49,0.75,9.61,10.35
2013-07-01,148.45,142.61,0.67,9.99,10.19
2013-08-01,149.16,143.71,0.48,9.72,10.17
2013-09-01,150.44,144.79,0.86,9.44,10.1
2013-10-01,151.65,145.86,0.8,9.25,9.95
2013-11-01,152.86,146.95,0.8,9.31,9.77
2013-12-01,154.25,148.04,0.91,9.25,9.7
2014-01-01,155.52,149.14,0.82,9.27,9.63
2014-02-01,156.45,150.23,0.6,9.21,9.48
2014-03-01,158.02,151.35,1.0,9.25,9.46
2014-04-01,159.27,152.49,0.79,9.41,9.42
2014-05-01,160.56,153.67,0.81,9.7,9.45
2014-06-01,161.88,154.88,0.82,9.78,9.46
2014-07-01,163.11,156.1,0.77,9.88,9.46
2014-08-01,164.01,157.34,0.55,9.96,9.48
2014-09-01,165.0,158.55,0.6,9.68,9.5
2014-10-01,165.82,159.73,0.5,9.34,9.51
2014-11-01,166.84,160.89,0.62,9.14,9.49
2014-12-01,168.37,162.07,0.92,9.15,9.48
2015-01-01,169.85,163.27,0.88,9.21,9.47
2015-02-01,171.1,164.49,0.74,9.36,9.49
2015-03-01,172.84,165.72,1.02,9.38,9.49
2015-04-01,174.39,166.98,0.9,9.49,9.5
2015-05-01,176.27,168.29,1.08,9.78,9.51
2015-06-01,178.13,169.64,1.06,10.04,9.53
2015-07-01,179.5,171.01,0.77,10.05,9.55
2015-08-01,180.63,172.39,0.63,10.13,9.57
2015-09-01,181.78,173.79,0.64,10.17,9.61
2015-10-01,182.61,175.19,0.45,10.13,9.68
2015-11-01,184.06,176.63,0.79,10.32,9.78
2015-12-01,186.2,178.11,1.16,10.59,9.9
2016-01-01,187.92,179.62,0.92,10.64,10.02
2016-02-01,190.51,181.24,1.38,11.35,10.18
2016-03-01,194.87,183.07,2.29,12.74,10.47
2016-04-01,197.4,184.99,1.3,13.19,10.79
2016-05-01,202.46,187.17,2.57,14.86,11.22
2016-06-01,205.39,189.44,1.44,15.3,11.67
2016-07-01,207.87,191.81,1.21,15.8,12.16
2016-08-01,210.3,194.28,1.17,16.43,12.7
2016-09-01,212.0,196.8,0.81,16.62,13.24
2016-10-01,213.82,199.4,0.86,17.09,13.82
2016-11-01,215.7,202.04,0.88,17.19,14.39
2016-12-01,218.58,204.73,1.33,17.39,14.95
2017-01-01,221.4,207.52,1.29,17.82,15.54
2017-02-01,225.81,210.47,1.99,18.53,16.13
2017-03-01,230.8,213.46,2.21,18.44,16.6
2017-04-01,235.5,216.63,2.04,19.3,17.11
2017-05-01,241.47,219.89,2.54,19.27,17.48
2017-06-01,246.29,223.29,1.99,19.91,17.87
2017-07-01,250.03,226.81,1.52,20.28,18.25
2017-08-01,252.89,230.36,1.14,20.25,18.57
2017-09-01,255.08,233.95,0.87,20.32,18.88
2017-10-01,257.24,237.56,0.85,20.31,19.14
2017-11-01,259.5,241.22,0.88,20.31,19.39
2017-12-01,261.01,244.75,0.58,19.42,19.55
2018-01-01,263.29,248.24,0.87,18.92,19.62
2018-02-01,265.52,251.55,0.85,17.59,19.52
2018-03-01,267.91,254.64,0.9,16.08,19.29
2018-04-01,270.35,257.55,0.91,14.8,18.89
2018-05-01,273.94,260.25,1.33,13.45,18.36
2018-06-01,278.25,262.92,1.57,12.98,17.75
2018-07-01,282.16,265.6,1.4,12.85,17.1
2018-08-01,286.17,268.37,1.42,13.16,16.5
2018-09-01,289.03,271.2,1.0,13.31,15.92
2018-10-01,291.39,274.04,0.82,13.28,15.36
2018-11-01,294.02,276.92,0.9,13.3,14.8
2018-12-01,296.4,279.87,0.81,13.56,14.35
2019-01-01,298.85,282.83,0.83,13.51,13.93
2019-02-01,301.3,285.81,0.82,13.47,13.62
2019-03-01,303.94,288.82,0.88,13.45,13.42
2019-04-01,307.4,291.9,1.14,13.7,13.34
2019-05-01,311.73,295.05,1.41,13.79,13.37
2019-06-01,315.97,298.2,1.36,13.56,13.42
2019-07-01,319.94,301.35,1.26,13.39,13.46
2019-08-01,323.85,304.49,1.22,13.17,13.46
2019-09-01,328.07,307.74,1.3,13.51,13.47
2019-10-01,332.44,311.16,1.33,14.09,13.54
2019-11-01,336.6,314.71,1.25,14.48,13.65
2019-12-01,339.88,318.33,0.97,14.67,13.74
2020-01-01,343.23,322.03,0.99,14.85,13.86
2020-02-01,346.2,325.77,0.87,14.9,13.98
2020-03-01,349.46,329.56,0.94,14.98,14.11
2020-04-01,353.59,333.41,1.18,15.03,14.22
2020-05-01,358.6,337.32,1.42,15.04,14.33
2020-06-01,363.93,341.32,1.48,15.18,14.46
2020-07-01,369.47,345.44,1.52,15.48,14.63
2020-08-01,375.66,349.76,1.67,16.0,14.87
2020-09-01,382.72,354.32,1.88,16.66,15.13
2020-10-01,390.21,359.13,1.96,17.38,15.42
2020-11-01,398.19,364.26,2.04,18.3,15.75
2020-12-01,406.36,369.8,2.05,19.56,16.17
2021-01-01,413.82,375.69,1.83,20.57,16.66
2021-02-01,421.63,381.97,1.89,21.79,17.25
2021-03-01,429.66,388.65,1.9,22.95,17.93
2021-04-01,433.92,395.35,0.99,22.72,18.58
2021-05-01,438.49,402.01,1.05,22.28,19.18
2021-06-01,443.37,408.63,1.11,21.83,19.72
2021-07-01,447.18,415.1,0.86,21.03,20.16
2021-08-01,451.93,421.46,1.06,20.3,20.5
2021-09-01,457.61,427.7,1.26,19.57,20.71
2021-10-01,461.77,433.66,0.91,18.34,20.75
2021-11-01,466.71,439.37,1.07,17.21,20.62
2021-12-01,476.95,445.25,2.19,17.37,20.4
2022-01-01,484.69,451.16,1.62,17.13,20.09
2022-02-01,493.77,457.17,1.87,17.11,19.69
2022-03-01,503.57,463.33,1.99,17.2,19.21
2022-04-01,513.63,469.97,2.0,18.37,18.88
2022-05-01,523.98,477.1,2.01,19.5,18.68
2022-06-01,534.71,484.71,2.05,20.6,18.62
2022-07-01,545.64,492.91,2.04,22.02,18.75
2022-08-01,556.42,501.62,1.98,23.12,19.02
2022-09-01,564.4,510.52,1.43,23.34,19.36
2022-10-01,571.32,519.65,1.23,23.72,19.83
2022-11-01,579.31,529.03,1.4,24.13,20.41
2022-12-01,590.24,538.47,1.89,23.75,20.94
2023-01-01,602.54,548.29,2.08,24.32,21.53
2023-02-01,614.01,558.31,1.9,24.35,22.12
2023-03-01,626.7,568.58,2.07,24.45,22.72
2023-04-01,640.04,579.11,2.13,24.61,23.22
2023-05-01,654.06,589.95,2.19,24.82,23.65
2023-06-01,669.73,601.2,2.4,25.25,24.03
