date,Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%)
2009-01-01,91.14,88.25,-0.11,8.01,5.52
2009-02-01,91.68,88.77,0.6,7.18,5.59
2009-03-01,91.98,89.58,0.33,11.84,6.51
2009-04-01,92.52,90.33,0.59,10.85,7.3
2009-05-01,94.19,91.04,1.8,9.88,7.85
2009-06-01,95.32,91.66,1.2,8.47,8.26
2009-07-01,96.8,92.28,1.55,8.28,8.55
2009-08-01,97.27,92.88,0.49,8.04,8.91
2009-09-01,98.09,93.44,0.85,7.43,8.94
2009-10-01,98.87,94.12,0.79,8.93,9.02
2009-11-01,100.0,94.93,1.14,10.7,9.14
2009-12-01,101.5,95.78,1.5,11.25,9.23
2010-01-01,102.14,96.7,0.63,12.06,9.57
2010-02-01,104.5,97.77,2.32,13.98,10.14
2010-03-01,104.11,98.78,-0.37,13.18,10.27
2010-04-01,104.41,99.77,0.28,12.84,10.44
2010-05-01,105.22,100.69,0.78,11.71,10.6
2010-06-01,107.41,101.69,2.08,12.69,10.95
2010-07-01,107.72,102.6,0.29,11.29,11.19
2010-08-01,109.3,103.61,1.47,12.37,11.55
2010-09-01,110.68,104.65,1.26,12.83,12.0
2010-10-01,111.89,105.74,1.1,13.17,12.35
2010-11-01,111.75,106.72,-0.13,11.75,12.42
2010-12-01,112.58,107.64,0.75,10.92,12.38
2011-01-01,114.51,108.67,1.72,12.12,12.39
2011-02-01,115.54,109.59,0.9,10.57,12.1
2011-03-01,117.45,110.71,1.65,12.81,12.08
2011-04-01,117.86,111.83,0.34,12.88,12.09
2011-05-01,118.9,112.97,0.89,13.01,12.2
2011-06-01,119.79,114.0,0.74,11.52,12.1
2011-07-01,120.08,115.03,0.24,11.47,12.11
2011-08-01,121.17,116.02,0.91,10.86,11.98
2011-09-01,123.48,117.08,1.91,11.57,11.88
2011-10-01,124.8,118.16,1.07,11.54,11.75
2011-11-01,124.55,119.23,-0.2,11.46,11.72
2011-12-01,124.76,120.24,0.17,10.82,11.71
2012-01-01,129.11,121.46,3.48,12.75,11.77
2012-02-01,129.3,122.6,0.14,11.9,11.87
2012-03-01,135.06,124.07,4.46,15.0,12.07
2012-04-01,135.18,125.52,0.09,14.7,12.24
2012-05-01,136.65,127.0,1.08,14.93,12.42
2012-06-01,137.99,128.51,0.98,15.2,12.73
2012-07-01,138.14,130.02,0.11,15.04,13.03
2012-08-01,139.0,131.5,0.62,14.71,13.35
2012-09-01,139.66,132.85,0.47,13.1,13.47
2012-10-01,140.28,134.14,0.44,12.4,13.53
2012-11-01,140.86,135.5,0.41,13.09,13.65
2012-12-01,141.84,136.92,0.7,13.69,13.87
2013-01-01,143.75,138.14,1.35,11.34,13.74
2013-02-01,143.76,139.35,0.0,11.18,13.66
2013-03-01,144.76,140.16,0.7,7.18,12.96
2013-04-01,144.48,140.93,-0.2,6.87,12.28
2013-05-01,145.16,141.64,0.47,6.23,11.53
2013-06-01,145.55,142.27,0.27,5.47,10.7
2013-07-01,147.23,143.03,1.16,6.58,10.01
2013-08-01,149.07,143.87,1.25,7.25,9.4
2013-09-01,150.01,144.73,0.63,7.41,8.94
2013-10-01,150.91,145.61,0.6,7.58,8.55
2013-11-01,151.77,146.52,0.57,7.75,8.14
2013-12-01,153.0,147.45,0.81,7.87,7.69
2014-01-01,153.31,148.25,0.2,6.65,7.32
2014-02-01,154.06,149.11,0.49,7.17,7.0
2014-03-01,154.66,149.93,0.39,6.84,6.98
2014-04-01,155.32,150.84,0.43,7.51,7.03
2014-05-01,156.33,151.77,0.65,7.69,7.15
2014-06-01,157.37,152.75,0.67,8.12,7.37
2014-07-01,157.71,153.63,0.22,7.12,7.41
2014-08-01,158.41,154.4,0.45,6.26,7.33
2014-09-01,159.43,155.19,0.64,6.28,7.23
2014-10-01,160.34,155.98,0.58,6.25,7.12
2014-11-01,161.27,156.77,0.58,6.26,6.99
2014-12-01,162.53,157.56,0.78,6.22,6.85
2015-01-01,163.72,158.43,0.73,6.79,6.86
2015-02-01,164.83,159.33,0.68,6.99,6.85
2015-03-01,166.19,160.29,0.83,7.46,6.91
2015-04-01,167.22,161.28,0.62,7.66,6.92
2015-05-01,169.23,162.35,1.2,8.25,6.97
2015-06-01,170.59,163.46,0.8,8.4,7.01
2015-07-01,171.64,164.62,0.61,8.83,7.15
2015-08-01,172.69,165.81,0.61,9.01,7.38
2015-09-01,173.66,166.99,0.56,8.93,7.61
2015-10-01,174.36,168.16,0.4,8.74,7.81
2015-11-01,175.35,169.33,0.57,8.73,8.02
2015-12-01,176.71,170.52,0.78,8.73,8.22
2016-01-01,178.19,171.72,0.84,8.84,8.39
2016-02-01,183.03,173.24,2.72,11.04,8.73
2016-03-01,186.42,174.92,1.85,12.17,9.13
2016-04-01,189.55,176.78,1.68,13.35,9.61
2016-05-01,194.7,178.91,2.72,15.05,10.2
2016-06-01,198.27,181.21,1.83,16.22,10.86
2016-07-01,200.69,183.63,1.22,16.93,11.55
2016-08-01,202.4,186.11,0.85,17.21,12.25
2016-09-01,204.34,188.67,0.96,17.67,12.98
2016-10-01,205.86,191.29,0.75,18.07,13.76
2016-11-01,207.33,193.96,0.71,18.24,14.54
2016-12-01,208.61,196.62,0.62,18.05,15.31
2017-01-01,210.03,199.27,0.68,17.87,16.04
2017-02-01,212.34,201.71,1.1,16.01,16.44
2017-03-01,215.14,204.11,1.32,15.4,16.68
2017-04-01,217.51,206.43,1.1,14.75,16.77
2017-05-01,220.05,208.55,1.17,13.02,16.57
2017-06-01,222.96,210.6,1.32,12.46,16.22
2017-07-01,225.19,212.65,1.0,12.21,15.8
2017-08-01,227.29,214.72,0.93,12.3,15.37
2017-09-01,229.11,216.78,0.8,12.12,14.9
2017-10-01,230.86,218.87,0.76,12.14,14.41
2017-11-01,232.64,220.98,0.77,12.21,13.93
2017-12-01,233.83,223.08,0.51,12.09,13.46
2018-01-01,235.42,225.19,0.68,12.09,13.01
2018-02-01,237.2,227.27,0.75,11.71,12.67
2018-03-01,239.19,229.27,0.84,11.18,12.33
2018-04-01,241.26,231.25,0.87,10.92,12.02
2018-05-01,243.61,233.21,0.98,10.71,11.83
2018-06-01,246.12,235.14,1.03,10.39,11.65
2018-07-01,248.12,237.05,0.81,10.18,11.48
2018-08-01,250.05,238.95,0.78,10.02,11.28
2018-09-01,251.65,240.83,0.64,9.84,11.09
2018-10-01,253.67,242.73,0.8,9.88,10.9
2018-11-01,255.41,244.63,0.68,9.79,10.7
2018-12-01,256.68,246.53,0.5,9.77,10.51
2019-01-01,258.75,248.48,0.81,9.91,10.34
2019-02-01,260.44,250.41,0.65,9.8,10.19
2019-03-01,261.82,252.3,0.53,9.46,10.04
2019-04-01,263.65,254.16,0.7,9.28,9.91
2019-05-01,265.62,256.0,0.75,9.03,9.77
2019-06-01,267.88,257.81,0.85,8.84,9.64
2019-07-01,269.95,259.63,0.77,8.8,9.52
2019-08-01,271.75,261.44,0.67,8.68,9.41
2019-09-01,274.16,263.32,0.89,8.94,9.34
2019-10-01,276.19,265.19,0.74,8.88,9.25
2019-11-01,278.38,267.11,0.79,8.99,9.19
2019-12-01,280.63,269.1,0.81,9.33,9.15
2020-01-01,282.94,271.12,0.82,9.35,9.11
2020-02-01,285.01,273.17,0.73,9.43,9.09
2020-03-01,287.3,275.29,0.8,9.73,9.11
2020-04-01,289.96,277.48,0.93,9.98,9.17
2020-05-01,292.5,279.72,0.88,10.12,9.27
2020-06-01,295.01,281.98,0.86,10.13,9.37
2020-07-01,297.22,284.25,0.75,10.1,9.48
2020-08-01,300.34,286.64,1.05,10.52,9.64
2020-09-01,303.17,289.05,0.94,10.58,9.77
2020-10-01,306.95,291.62,1.25,11.14,9.96
2020-11-01,309.14,294.18,0.71,11.05,10.14
2020-12-01,312.55,296.84,1.1,11.37,10.31
2021-01-01,316.48,299.64,1.26,11.85,10.52
2021-02-01,320.3,302.58,1.21,12.38,10.77
2021-03-01,323.71,305.61,1.06,12.67,11.01
2021-04-01,326.91,308.69,0.99,12.74,11.25
2021-05-01,330.95,311.89,1.24,13.15,11.5
2021-06-01,333.64,315.11,0.81,13.09,11.75
2021-07-01,338.0,318.51,1.31,13.72,12.05
2021-08-01,340.61,321.87,0.77,13.41,12.29
2021-09-01,344.84,325.34,1.24,13.74,12.55
2021-10-01,347.59,328.73,0.8,13.24,12.73
2021-11-01,351.96,332.3,1.26,13.85,12.96
2021-12-01,355.91,335.91,1.12,13.87,13.16
2022-01-01,360.37,339.57,1.25,13.87,13.33
2022-02-01,365.18,343.31,1.33,14.01,13.46
2022-03-01,368.75,347.06,0.98,13.91,13.56
2022-04-01,373.26,350.92,1.22,14.18,13.68
2022-05-01,380.25,355.03,1.87,14.9,13.83
2022-06-01,386.18,359.41,1.56,15.75,14.06
2022-07-01,392.95,363.99,1.75,16.26,14.28
2022-08-01,399.19,368.87,1.59,17.2,14.6
2022-09-01,405.53,373.93,1.59,17.6,14.93
2022-10-01,409.32,379.07,0.93,17.76,15.31
2022-11-01,416.17,384.42,1.67,18.24,15.69
2022-12-01,421.72,389.91,1.33,18.49,16.08
2023-01-01,429.4,395.66,1.82,19.16,16.52
2023-02-01,433.98,401.39,1.06,18.84,16.92
2023-03-01,441.97,407.49,1.84,19.86,17.41
2023-04-01,448.41,413.76,1.46,20.14,17.91
2023-05-01,456.52,420.11,1.81,20.06,18.33
2023-06-01,464.47,426.64,1.74,20.27,18.71
